image_name,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,label
IMG_4035.jpg,3.004780137441e+00,8.750923843124e+00,9.995415095434e+00,9.940798374149e+00,-1.000000000000e+01,-9.999997794861e+00,-1.000000000000e+01,000
IMG_4036.jpg,3.010701158272e+00,9.277573364405e+00,9.999764300952e+00,9.996496733597e+00,-1.000000000000e+01,-9.999999929104e+00,1.000000000000e+01,000
IMG_4046.jpg,3.115172578166e+00,9.897438706870e+00,9.999990638976e+00,9.996118262600e+00,-1.000000000000e+01,-9.999999980498e+00,1.000000000000e+01,001
IMG_4047.jpg,3.094979402427e+00,9.995030928220e+00,9.999999966700e+00,9.999399244337e+00,1.000000000000e+01,9.999999999497e+00,1.000000000000e+01,001
IMG_4063.jpg,3.147040104069e+00,9.994370303251e+00,9.999999524403e+00,9.999625978794e+00,-1.000000000000e+01,-9.999999999589e+00,1.000000000000e+01,010
IMG_4064.jpg,3.013242481524e+00,6.683191702351e+00,9.353470471423e+00,9.899380615713e+00,-9.999999999992e+00,-9.999948708179e+00,-9.999999999993e+00,010
IMG_4077.jpg,3.039370224287e+00,6.770414215196e+00,9.408708773320e+00,9.912734280849e+00,-9.999999999998e+00,-9.999967571522e+00,-9.999999999993e+00,011
IMG_4078.jpg,3.153359643956e+00,9.999007819588e+00,9.999999996202e+00,9.999866721694e+00,-1.000000000000e+01,-9.999999999936e+00,1.000000000000e+01,011
IMG_4081.jpg,3.083149828714e+00,9.451740866029e+00,9.999703079100e+00,9.994990703691e+00,-1.000000000000e+01,-9.999999922731e+00,-1.000000000000e+01,100
IMG_4082.jpg,3.076830279691e+00,9.529894130999e+00,9.999793921574e+00,9.997123813956e+00,-1.000000000000e+01,-9.999999970941e+00,1.000000000000e+01,100
