image_name,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,label
IMG_4033.jpg,3.088920772840e+00,9.816971698048e+00,9.999958137342e+00,9.997393303062e+00,-1.000000000000e+01,-9.999999982164e+00,-1.000000000000e+01,000
IMG_4034.jpg,3.089456187688e+00,9.844984622490e+00,9.999973547707e+00,9.997597271736e+00,-1.000000000000e+01,-9.999999990582e+00,-1.000000000000e+01,000
IMG_4043.jpg,3.074611925456e+00,9.947603821647e+00,9.999980772846e+00,9.997102595875e+00,-1.000000000000e+01,-9.999999993566e+00,1.000000000000e+01,001
IMG_4044.jpg,3.073640853407e+00,9.977763405402e+00,9.999998199827e+00,9.993745726464e+00,1.000000000000e+01,-9.999999987485e+00,1.000000000000e+01,001
IMG_4057.jpg,3.135084311510e+00,9.996726519782e+00,9.999999147248e+00,9.999701982289e+00,-1.000000000000e+01,-9.999999999743e+00,1.000000000000e+01,010
IMG_4058.jpg,3.134769086150e+00,9.988130580156e+00,9.999998351519e+00,9.999287066438e+00,-1.000000000000e+01,-9.999999998857e+00,1.000000000000e+01,010
IMG_4067.jpg,3.123180259064e+00,9.989823950054e+00,9.999999714073e+00,9.999035813596e+00,-1.000000000000e+01,-9.999999998516e+00,1.000000000000e+01,011
IMG_4068.jpg,3.119793528684e+00,9.995443559545e+00,9.999999983304e+00,9.999367798538e+00,-1.000000000000e+01,-9.999999999363e+00,1.000000000000e+01,011
IMG_4079.jpg,3.016060906601e+00,9.116704782250e+00,9.999062523822e+00,9.973778386182e+00,-1.000000000000e+01,-9.999999304299e+00,1.000000000000e+01,100
IMG_4080.jpg,3.011133381787e+00,9.480130835608e+00,9.999847337661e+00,9.993220003798e+00,-1.000000000000e+01,-9.999999910454e+00,1.000000000000e+01,100
IMG_4035.jpg,3.004780137441e+00,8.750923843124e+00,9.995415095434e+00,9.940798374149e+00,-1.000000000000e+01,-9.999997794861e+00,-1.000000000000e+01,000
IMG_4036.jpg,3.010701158272e+00,9.277573364405e+00,9.999764300952e+00,9.996496733597e+00,-1.000000000000e+01,-9.999999929104e+00,1.000000000000e+01,000
IMG_4046.jpg,3.115172578166e+00,9.897438706870e+00,9.999990638976e+00,9.996118262600e+00,-1.000000000000e+01,-9.999999980498e+00,1.000000000000e+01,001
IMG_4047.jpg,3.094979402427e+00,9.995030928220e+00,9.999999966700e+00,9.999399244337e+00,1.000000000000e+01,9.999999999497e+00,1.000000000000e+01,001
IMG_4063.jpg,3.147040104069e+00,9.994370303251e+00,9.999999524403e+00,9.999625978794e+00,-1.000000000000e+01,-9.999999999589e+00,1.000000000000e+01,010
IMG_4064.jpg,3.013242481524e+00,6.683191702351e+00,9.353470471423e+00,9.899380615713e+00,-9.999999999992e+00,-9.999948708179e+00,-9.999999999993e+00,010
IMG_4077.jpg,3.039370224287e+00,6.770414215196e+00,9.408708773320e+00,9.912734280849e+00,-9.999999999998e+00,-9.999967571522e+00,-9.999999999993e+00,011
IMG_4078.jpg,3.153359643956e+00,9.999007819588e+00,9.999999996202e+00,9.999866721694e+00,-1.000000000000e+01,-9.999999999936e+00,1.000000000000e+01,011
IMG_4081.jpg,3.083149828714e+00,9.451740866029e+00,9.999703079100e+00,9.994990703691e+00,-1.000000000000e+01,-9.999999922731e+00,-1.000000000000e+01,100
IMG_4082.jpg,3.076830279691e+00,9.529894130999e+00,9.999793921574e+00,9.997123813956e+00,-1.000000000000e+01,-9.999999970941e+00,1.000000000000e+01,100
IMG_4037.jpg,3.012820511011e+00,8.650604285712e+00,9.994642096242e+00,9.940411346939e+00,-1.000000000000e+01,-9.999997244697e+00,-1.000000000000e+01,000
IMG_4038.jpg,3.025488464030e+00,9.521940225246e+00,9.999867205569e+00,9.994004161479e+00,1.000000000000e+01,-9.999999952215e+00,1.000000000000e+01,000
IMG_4045.jpg,3.106538363567e+00,9.992043030548e+00,9.999998528249e+00,9.999270037919e+00,1.000000000000e+01,-9.999999999708e+00,-1.000000000000e+01,001
IMG_4049.jpg,3.090818975312e+00,9.749022797058e+00,9.999975844546e+00,9.989589865057e+00,-1.000000000000e+01,-9.999999907648e+00,1.000000000000e+01,001
IMG_4059.jpg,3.142147660372e+00,9.987300074312e+00,9.999999352425e+00,9.999418609146e+00,-1.000000000000e+01,-9.999999999015e+00,-1.000000000000e+01,010
IMG_4060.jpg,3.084471493349e+00,6.991752457228e+00,9.778012232048e+00,9.971148442521e+00,1.000000000000e+01,9.999995639297e+00,9.999999999999e+00,010
IMG_4069.jpg,3.120995032147e+00,9.982804839905e+00,9.999998935721e+00,9.998523861448e+00,-1.000000000000e+01,-9.999999997098e+00,-1.000000000000e+01,011
IMG_4070.jpg,3.115776752071e+00,9.953441592895e+00,9.999995208507e+00,9.997921654078e+00,-1.000000000000e+01,-9.999999993013e+00,-1.000000000000e+01,011
IMG_4084.jpg,3.046489139545e+00,9.650482300457e+00,9.999909128404e+00,9.991921154376e+00,-1.000000000000e+01,-9.999999910356e+00,1.000000000000e+01,100
IMG_4085.jpg,3.048061320433e+00,9.775158939827e+00,9.999959805992e+00,9.992742490499e+00,-1.000000000000e+01,-9.999999951958e+00,1.000000000000e+01,100
IMG_4039.jpg,3.026102736074e+00,9.509296309418e+00,9.999499590905e+00,9.974934167537e+00,-1.000000000000e+01,-9.999999736109e+00,-1.000000000000e+01,000
